ID,Name,active_resources,inactive_resources,total_resources
3,Wikinger,8,38,46
4,Gwynt y M̫r,17,75,92
5,Scira,8,32,40
6,LID (Archived),1,88,89
7,London Array,0,176,176
8,Galloper,8,67,75
9,Greater Gabbard,39,81,120
10,Nordsee Ost,0,281,281
11,BOWL,6,112,118
12,Ormonde,0,1,1
13,AOWF,0,41,41
14,50Hz CWA2,6,1,7
18,Rhyl Flats,5,30,35
19,Borssele 2,9,57,66
20,Fryslan,8,107,115
21,Akita,5,13,18
23,Saint Brieuc,22,67,89
24,Seagreen,15,168,183
25,Stowen,0,0,1
27,Moray East,7,31,38
28,Dogger Bank A (Const.),19,84,103
29,DolWin6,3,2,5
30,Moray West,15,27,42
31,Dogger Bank B (Const.),0,0,1
32,Vattenfall,0,0,1
33,Sofia,15,37,52
40,LID,4,1,5
42,Greater Wash,2,0,2
43,Dogger Bank A O&M,1,0,1
44,EnBW-He Dreiht,0,0,1